,text,label,ambiguity,example1,example2,time
0,연장근무 신청은 누구에게 해야 하나요?,업무분장,P,P,P,3.576164484024048
1,연장근무 신청 방법은 어떻게 되나요?,HR,M,M,M,2.979457378387451
2,법인카드 지출 증빙을 처리하는 부서는 어디인가요?,업무분장,P,P,P,2.9644834995269775
3,법인카드 지출 증빙은 어떻게 해야 하나요?,HR,M,M,M,2.9645509719848633
4,보험계리사 시험을 준비하는 직원은 누구인가요?,업무분장,P,P,P,2.9619781970977783
5,보험계리사 시험 준비에 회사에서 어떤 지원을 해주는지 알려주세요.,HR,M,M,M,3.345808267593384
6,법인카드 지출 증빙을 처리하는 부서는 어디인가요?,업무분장,P,P,P,2.9574673175811768
7,법인카드 지출 증빙은 어떻게 해야 하나요?,HR,M,M,M,2.9561312198638916
8,장기보험심사를 처리하는 부서는 어디인가요?,업무분장,P,P,P,2.9518849849700928
9,장기보험심사를 진행하는 방법은 어떻게 되나요?,HR,M,M,M,2.9516665935516357
10,이사회 일정을 아시는 분이 누구신가요?,업무분장,P,P,P,2.9472365379333496
11,이사회가 언제 열리는지 알려줄 수 있나요?,HR,P,P,P,2.9459006786346436
12,퇴직금을 처리하는 부서는 어디인가요?,업무분장,P,P,P,2.9469306468963623
13,퇴직금을 계산하는 방법은 어떻게 되나요?,HR,M,M,M,2.947967052459717
14,직원 복지 관련 문의는 누구에게 해야 하나요?,업무분장,P,P,P,2.947075843811035
15,직원 복지를 신청하는 방법은 무엇인가요?,HR,M,M,M,2.949303150177002
16,회사 건강검진은 누구에게 문의해야 하나요?,업무분장,P,P,P,2.9446170330047607
17,회사 건강검진은 어떻게 신청하나요?,HR,M,M,M,2.942105293273926
18,재택근무를 처리하는 담당자는 누구인가요?,업무분장,P,P,P,2.943047285079956
19,재택근무 신청 방법은 어떻게 되나요?,HR,M,M,M,2.9458274841308594
20,승진 심사를 진행하는 부서는 어디인가요?,업무분장,P,P,P,2.9522030353546143
21,승진 심사의 진행 방법은 어떻게 되나요?,HR,M,M,M,2.9448294639587402
22,보험영업직 인센티브를 처리하는 부서는 어디인가요?,업무분장,P,P,P,2.944211006164551
23,보험영업직 인센티브 계산 방법은 어떻게 되나요?,HR,M,M,M,2.951597213745117
24,결혼휴가를 신청할 수 있는 부서는 어디인가요?,업무분장,P,P,P,2.9489786624908447
25,결혼휴가를 신청하는 방법은 어떻게 되나요?,HR,M,M,M,2.950770854949951
26,사내 전보는 누구에게 문의해야 하나요?,업무분장,P,P,P,2.940678358078003
27,사내 전보는 어떻게 신청하나요?,HR,M,M,M,2.942434072494507
28,야근을 신청할 수 있는 사람을 알려줘,업무분장,P,P,P,2.9441041946411133
29,야근 신청 방법을 알려줘,HR,M,M,M,2.9429125785827637
30,직원 교육비 관련 문의는 누구에게 해야 하나요?,업무분장,P,P,P,2.943174123764038
31,직원 교육비는 어떻게 계산되나요?,HR,M,M,M,2.942208766937256
32,휴직 신청은 누구에게 해야 하나요?,업무분장,P,P,P,2.938817262649536
33,휴직 신청은 어떻게 해야 하나요?,HR,M,M,M,2.9399185180664062
34,직급별 교육을 담당하는 부서는 어디인가요?,업무분장,P,P,P,2.9436850547790527
35,직급별 교육은 어떻게 진행되나요?,HR,M,M,M,2.9385852813720703
36,부모님의 간병을 도와줄 수 있는 부서는 어디인가요?,업무분장,P,P,P,2.947657346725464
37,간병을 위한 지원이나 절차는 어떻게 되나요?,HR,M,M,M,2.9415717124938965
38,보험대리점 개설을 담당하는 부서는 어디인가요?,업무분장,P,P,P,2.9424824714660645
39,보험대리점 개설 절차는 어떻게 되나요?,HR,M,M,M,2.9418528079986572
40,보험금 계산은 누구에게 문의해야 하나요?,업무분장,P,P,P,2.945899724960327
41,보험금 계산 방법은 어떻게 되나요?,HR,M,M,M,2.944263219833374
42,보험료는 누구에게 문의해야 하나요?,업무분장,P,P,P,2.947401285171509
43,보험료는 어떻게 계산되나요?,HR,M,M,M,2.9453673362731934
44,사내 고충을 처리해 주시는 부서는 어디인가요?,업무분장,P,P,P,2.948899745941162
45,사내 고충을 제기하는 방법은 어떻게 되나요?,HR,M,M,M,2.9445366859436035
46,누가 문제를 해결해 주나요?,업무분장,P,P,P,2.938113212585449
47,문제를 해결하는 방법은 무엇인가요?,HR,M,M,M,2.9451279640197754
48,출산휴가를 신청할 수 있는 부서는 어디인가요?,업무분장,P,P,P,2.941012382507324
49,출산휴가 신청 방법은 어떻게 되나요?,HR,M,M,M,2.9071576595306396
50,보험사기 관련 사고를 처리해 주시는 부서는 어디인가요?,업무분장,P,P,P,2.837104320526123
51,보험사기 피해를 신고하거나 보상받는 방법은 무엇인가요?,HR,M,M,M,2.8421213626861572
