text,label
인감증명서는 어떻게 신청하나요?,지원업무
친조부모 돌아가셨는데 지원사항,지원업무
호텔숙박비 어떤 계좌로 들어오나요?,지원업무
리프레쉬 포인트는 어디서 쓸 수 있어?,지원업무
신규배치 출력물 생성시 주의사항은 뭔가요,지원업무
근조 및 축하화환 제작시 주의사항이 있을까요,지원업무
퇴직연금 유형은 어디서 확인하나요,지원업무
pc 연장 5시간 넘어가면 결재자가 어떻게 돼?,지원업무
이 휴가 신청 어떻게 해?,지원업무
각 층 회의실은 어떻게 이용하나요,지원업무
수안보 연수원에 매점도 있나요?,지원업무
돌봄 휴가 나눠서 쓸 수 있나요?,지원업무
우리 딸 결혼할때 나 얼마받아,지원업무
보험계리사 시험치려고 하는데 이거 회사에서 지원 얼마 해줘?,지원업무
법인카드 잃어버렸어요,지원업무
차량손해사정사 수당이 얼마야?,지원업무
송파구에서 건강검진 받기 가장 가까운 병원은 어디야?,지원업무
수당중에서 제일높은 자격증은?,지원업무
원천징수영수증 발급방법,지원업무
사원증 및 임시카드 관련 신청 방법,지원업무
법인카드 지출 증빙,지원업무
해외출장 갈 때 first class 탈 수 있어?,지원업무
1년에 기본적으로 주어지는 휴가는 몇개야?,지원업무
광고 소재 반출 신청 가능 소재 알려주세요,지원업무
광고 소재를 사적으로 활용할 수 있나요?,지원업무
한화손해보험(주)에서 열람 권한이 있는 파일만 보안 해제가 가능한 이유가 무엇인가요?,지원업무
신규 IP 발급 절차에서 첫 번째 단계는 무엇인가요?,지원업무
IP를 신청하기 위해서는 어떤 부서장의 결재가 필요한가요?,지원업무
임원 승진자는 Self Camp 기간 동안 몇 일의 유급 휴가를 받을 수 있나요?,지원업무
영상 제작 완료를 원하는 날짜는 언제까지 협의해야 하나요?,지원업무
OAuth 인증 서비스 누구한테 연락하면 될까,업무분장
급여 관련 문의는 누구에게 해야 돼?,업무분장
KICS 업무하는 사람,업무분장
경조사 관련해서 누구한테 물어보면 될까,업무분장
보험계리 업무 책임자가 누구야?,업무분장
직원 복리후생 담당 부서,업무분장
장기보험심사 누가 해?,업무분장
이사회 언제 열리는지 누가 알아?,업무분장
보험설계사 채용 담당자,업무분장
계약 이관하려면 누구한테 물어봐야 해?,업무분장
보험금 지급 심사 담당자,업무분장
교육훈련 기획 담당 부서,업무분장
보험료 수납 업무 담당자,업무분장
직원 건강검진 담당자,업무분장
보험상품 마케팅 업무 하는 사람 알려줘,업무분장
총무 업무 담당자를 알려줘,업무분장
보험계약 관리 책임자,업무분장
채용 면접 담당자,업무분장
의료 심사 관련해서는 누구한테 물어봐야 해?,업무분장
직원 상담 담당자,업무분장
보험대리점 관리 담당자,업무분장
회계 업무 책임자,업무분장
특종 언더라이팅 업무 총괄자 이름이?,업무분장
직원 징계 담당 부서,업무분장
보험금 청구 접수 담당자,업무분장
소장 작성은 누구한테 물어봐야 해?,업무분장
보험료 할인 승인 담당자,업무분장
직원 경조사 담당자,업무분장
보험상품 설명서 작성 담당자,업무분장
시설관리 담당 부서,업무분장
보험설계사 채용,관련없음
퇴직금,관련없음
시차출근제?,관련없음
직원 복지,관련없음
회사 건강검진,관련없음
재택근무,관련없음
승진 심사가 곧이야,관련없음
보험영업직 인센티브,관련없음
연장근무 신청 어디서 해,관련없음
사내 전보,관련없음
야근 해야될 것 같아,관련없음
직원 교육비,관련없음
보험계리사 자격?,관련없음
징계 받으면 어떡해,관련없음
휴직 신청,관련없음
사내 동호회 알려줘,관련없음
보험상품 개발은 어떻게 해,관련없음
직급별 교육,관련없음
부모님 간병해야 할 것 같아,관련없음
보험대리점 개설,관련없음
이건 어떻게 해,관련없음
손해사정사 자격,관련없음
보험료?,관련없음
사내 고충,관련없음
해결 좀 해줘,관련없음
보험심사팀 채용,관련없음
출산휴가,관련없음
보험사기 당했어,관련없음
치킨 시켜줘,관련없음
내 연봉,관련없음
한화손보 본사 주차장 불만사항에 대해서 건의하고 싶어,업무분장
제가 계약건에서 배서 청약서 스캔을 했는데요 삭제를 하려고니깐 안되는데 어디에 물어봐요?,업무분장
