,text,label,ambiguity,example1,example2,time
0,인감증명서는 어떻게 신청하나요?,HR,M,M,M,3.3475189208984375
1,친조부모 돌아가셨는데 지원사항,HR,M,M,M,2.9137473106384277
2,호텔숙박비 어떤 계좌로 들어오나요?,HR,M,M,M,2.91477632522583
3,리프레쉬 포인트는 어디서 쓸 수 있어?,HR,M,M,M,2.8990821838378906
4,신규배치 출력물 생성시 주의사항은 뭔가요,HR,M,M,M,2.9058926105499268
5,근조 및 축하화환 제작시 주의사항이 있을까요,HR,M,M,M,2.900470018386841
6,퇴직연금 유형은 어디서 확인하나요,HR,M,M,M,3.0902860164642334
7,pc 연장 5시간 넘어가면 결재자가 어떻게 돼?,HR,M,M,M,2.9205777645111084
8,연장근무 신청 어디서 해,HR,X,연장근무 신청은 누구에게 해야 하나요?,연장근무 신청 방법은 어떻게 되나요?,8.134007215499878
9,각 층 회의실은 어떻게 이용하나요,HR,M,M,M,2.874349355697632
10,수안보 연수원에 매점도 있나요?,HR,M,M,M,2.8564109802246094
11,돌봄 휴가 나눠서 쓸 수 있나요?,HR,M,M,M,3.0434176921844482
12,법인카드 지출 증빙,HR,X,법인카드 지출 증빙을 처리하는 부서는 어디인가요?,법인카드 지출 증빙은 어떻게 해야 하나요?,9.81855320930481
13,보험계리사 시험치려고 하는데 이거 회사에서 지원 얼마 해줘?,HR,X,보험계리사 시험을 준비하는 직원은 누구인가요?,보험계리사 시험 준비에 회사에서 어떤 지원을 해주는지 알려주세요.,10.176219701766968
14,법인카드 잃어버렸어요,HR,P,P,P,3.7765309810638428
15,차량손해사정사 수당이 얼마야?,HR,M,M,M,3.410292625427246
16,송파구에서 건강검진 받기 가장 가까운 병원은 어디야?,HR,M,M,M,2.8622007369995117
17,수당중에서 제일높은 자격증은?,HR,M,M,M,3.4533469676971436
18,원천징수영수증 발급방법,HR,M,M,M,2.954028367996216
19,사원증 및 임시카드 관련 신청 방법,HR,M,M,M,2.9207987785339355
20,법인카드 지출 증빙,HR,X,법인카드 지출 증빙을 처리하는 부서는 어디인가요?,법인카드 지출 증빙은 어떻게 해야 하나요?,9.984870672225952
21,해외출장 갈 때 first class 탈 수 있어?,HR,M,M,M,2.9026525020599365
22,1년에 기본적으로 주어지는 휴가는 몇개야?,HR,M,M,M,2.900745153427124
23,광고 소재 반출 신청 가능 소재 알려주세요,HR,M,M,M,3.070247173309326
24,광고 소재를 사적으로 활용할 수 있나요?,HR,M,M,M,2.9058103561401367
25,한화손해보험(주)에서 열람 권한이 있는 파일만 보안 해제가 가능한 이유가 무엇인가요?,HR,M,M,M,2.922727108001709
26,신규 IP 발급 절차에서 첫 번째 단계는 무엇인가요?,HR,M,M,M,2.9059805870056152
27,IP를 신청하기 위해서는 어떤 부서장의 결재가 필요한가요?,HR,P,P,P,2.9123473167419434
28,임원 승진자는 Self Camp 기간 동안 몇 일의 유급 휴가를 받을 수 있나요?,HR,M,M,M,2.874661684036255
29,영상 제작 완료를 원하는 날짜는 언제까지 협의해야 하나요?,HR,M,M,M,2.8716890811920166
30,OAuth 인증 서비스 누구한테 연락하면 될까,업무분장,P,P,P,2.863952159881592
31,급여 관련 문의는 누구에게 해야 돼?,업무분장,P,P,P,2.87048077583313
32,KICS 업무하는 사람,업무분장,P,P,P,2.874781370162964
33,경조사 관련해서 누구한테 물어보면 될까,업무분장,P,P,P,3.4548258781433105
34,보험계리 업무 책임자가 누구야?,업무분장,P,P,P,2.8967061042785645
35,직원 복리후생 담당 부서,업무분장,P,P,P,2.941108226776123
36,장기보험심사 누가 해?,업무분장,X,장기보험심사를 처리하는 부서는 어디인가요?,장기보험심사를 진행하는 방법은 어떻게 되나요?,8.652150392532349
37,이사회 언제 열리는지 누가 알아?,업무분장,X,이사회 일정을 아시는 분이 누구신가요?,이사회가 언제 열리는지 알려줄 수 있나요?,8.621310949325562
38,보험설계사 채용 담당자,업무분장,P,P,P,2.921466588973999
39,계약 이관하려면 누구한테 물어봐야 해?,업무분장,P,P,P,2.909161329269409
40,보험금 지급 심사 담당자,업무분장,P,P,P,2.9172494411468506
41,교육훈련 기획 담당 부서,업무분장,P,P,P,5.381330251693726
42,보험료 수납 업무 담당자,업무분장,P,P,P,2.915776252746582
43,직원 건강검진 담당자,업무분장,P,P,P,2.9095277786254883
44,보험상품 마케팅 업무 하는 사람 알려줘,업무분장,P,P,P,2.9005048274993896
45,총무 업무 담당자를 알려줘,업무분장,P,P,P,2.9033360481262207
46,보험계약 관리 책임자,업무분장,P,P,P,2.901681900024414
47,채용 면접 담당자,업무분장,P,P,P,2.903608560562134
48,의료 심사 관련해서는 누구한테 물어봐야 해?,업무분장,P,P,P,2.9060616493225098
49,직원 상담 담당자,업무분장,P,P,P,2.8967807292938232
50,보험대리점 관리 담당자,업무분장,P,P,P,2.896824836730957
51,회계 업무 책임자,업무분장,P,P,P,2.8960628509521484
52,특종 언더라이팅 업무 총괄자 이름이?,업무분장,P,P,P,2.906503677368164
53,직원 징계 담당 부서,업무분장,P,P,P,2.908130168914795
54,보험금 청구 접수 담당자,업무분장,P,P,P,2.9111979007720947
55,소장 작성은 누구한테 물어봐야 해?,업무분장,P,P,P,2.9070606231689453
56,보험료 할인 승인 담당자,업무분장,P,P,P,2.901313304901123
57,직원 경조사 담당자,업무분장,P,P,P,2.895829439163208
58,보험상품 설명서 작성 담당자,업무분장,P,P,P,2.897721529006958
59,시설관리 담당 부서,업무분장,P,P,P,2.897508382797241
60,보험설계사 채용,관련없음,P,P,P,2.8953585624694824
